time,symbol,direction,entry,tp,sl,result,pnl
2025-05-21 22:17:34,WAVESUSDT,LONG,1.3355,1.3355,1.3355,pending,0
2025-05-21 22:20:03,OMGUSDT,LONG,0.291,0.291,0.291,pending,0
2025-05-21 22:20:25,WAVESUSDT,LONG,1.3355,1.3355,1.3355,pending,0
2025-05-21 22:20:45,BALUSDT,LONG,0.829,0.829,0.829,pending,0
2025-05-21 22:20:56,BLZUSDT,LONG,0.06836,0.06836,0.06836,pending,0
2025-05-21 22:21:12,FTMUSDT,LONG,0.7702,0.7702,0.7702,pending,0
2025-05-21 22:21:29,RENUSDT,LONG,0.048,0.048,0.048,pending,0
2025-05-21 22:21:44,OCEANUSDT,LONG,0.707,0.707,0.707,pending,0
2025-05-21 22:22:10,LITUSDT,LONG,0.592,0.592,0.592,pending,0
2025-05-21 22:22:24,UNFIUSDT,LONG,1.73,1.73,1.73,pending,0
2025-05-21 22:22:38,REEFUSDT,LONG,0.00088,0.00088,0.00088,pending,0
2025-05-21 22:22:55,XEMUSDT,LONG,0.0338,0.0338,0.0338,pending,0
2025-05-21 22:23:19,LINAUSDT,LONG,0.000742,0.000742,0.000742,pending,0
2025-05-21 22:23:33,STMXUSDT,LONG,0.00388,0.00388,0.00388,pending,0
2025-05-21 22:23:54,SCUSDT,LONG,0.003653,0.003653,0.003653,pending,0
2025-05-21 22:23:56,DGBUSDT,LONG,0.01922,0.01922,0.01922,pending,0
2025-05-21 22:24:16,RAYUSDT,LONG,0.248,0.248,0.248,pending,0
2025-05-21 22:24:40,KLAYUSDT,LONG,0.1247,0.1247,0.1247,pending,0
2025-05-21 22:25:10,FTTUSDT,LONG,1.59,1.59,1.59,pending,0
2025-05-21 22:25:25,DARUSDT,LONG,0.1425,0.1425,0.1425,pending,0
2025-05-21 22:25:41,CVXUSDT,LONG,2.374,2.374,2.374,pending,0
2025-05-21 22:26:08,AGIXUSDT,LONG,0.7009,0.7009,0.7009,pending,0
2025-05-21 22:26:27,BNXUSDT,LONG,2.0,2.0,2.0,pending,0
2025-05-21 22:26:55,AMBUSDT,LONG,0.001188,0.001188,0.001188,pending,0
2025-05-21 22:27:22,IDEXUSDT,LONG,0.0561,0.0561,0.0561,pending,0
2025-05-21 22:27:36,SUIUSDT,LONG,3.882,3.825,3.815876571428571,pending,0
2025-05-21 22:27:54,RADUSDT,LONG,1.6874,1.6874,1.6874,pending,0
2025-05-21 22:28:08,KEYUSDT,LONG,0.0025177,0.0025177,0.0025177,pending,0
2025-05-21 22:28:23,COMBOUSDT,LONG,0.0695,0.0695,0.0695,pending,0
2025-05-21 22:29:05,ETHUSDT,LONG,2513.07,2481.225,2470.435888571428,pending,0
2025-05-22 07:41:08,ETHUSDT,LONG,2625.73,4109.99,2356.0,pending,0
2025-05-22 07:42:30,BCHUSDT,LONG,415.24,640.58,319.79,pending,0
2025-05-22 07:43:55,ETCUSDT,LONG,19.472,40.04,17.256,pending,0
2025-05-22 07:44:02,ADAUSDT,LONG,0.7894,1.329,0.32,pending,0
2025-05-22 07:45:19,DASHUSDT,LONG,24.38,71.67,21.05,pending,0
2025-05-22 07:46:36,ZECUSDT,LONG,43.39,79.43,35.54,pending,0
2025-05-22 07:47:58,XTZUSDT,LONG,0.647,1.911,0.577,pending,0
2025-05-22 07:49:16,ATOMUSDT,LONG,5.055,10.688,3.824,pending,0
2025-05-22 07:50:33,ONTUSDT,LONG,0.1567,0.3955,0.1541,pending,0
2025-05-22 07:51:56,BATUSDT,LONG,0.1544,0.3709,0.1458,pending,0
2025-05-22 07:53:15,VETUSDT,LONG,0.029977,0.080249,0.019026,pending,0
2025-05-22 07:54:38,NEOUSDT,LONG,6.831,26.277,8.607,pending,0
